timestamp,measured,simulated
2020-01-01T00:00:00Z,29983.86071470325,31134.495799081844
2020-02-01T00:00:00Z,31304.200529846,27314.299709301235
2020-03-01T00:00:00Z,28715.1939967645,26642.46457000464
2020-04-01T00:00:00Z,26328.64875505275,26427.544939574855
2020-05-01T00:00:00Z,30400.9894439275,27771.48990969544
2020-06-01T00:00:00Z,27765.65509772675,29476.649561628095
2020-07-01T00:00:00Z,29295.87609852225,29800.994598803216
2020-08-01T00:00:00Z,36525.4946475485,26677.288187031194
2020-09-01T00:00:00Z,30919.37897605825,29393.43635952346
2020-10-01T00:00:00Z,29326.304170576,29098.438845061275
2020-11-01T00:00:00Z,20918.76629411825,24483.308675720462
2020-12-01T00:00:00Z,21434.990156238,25114.295999861446
