month,measured,simulated,residual,residual_pct,coverage_fraction,complete
2020-01,29983.86071470325,36105.64916084951,6121.788446146264,20.41694531733303,1.0,True
2020-02,31304.200529846,31735.54869812777,431.3481682817728,1.3779242433312346,1.0,True
2020-03,28715.1939967645,32865.92184621954,4150.727849455041,14.45481388676227,1.0,True
2020-04,26328.64875505275,30779.5526865472,4450.903931494449,16.905174180806654,1.0,True
2020-05,30400.9894439275,28111.42766057835,-2289.5617833491524,-7.531208112723071,1.0,True
2020-06,27765.65509772675,26983.67032626244,-781.984771464311,-2.816374289430449,1.0,True
2020-07,29295.87609852225,30264.2301200652,968.3540215429493,3.3054277615264605,1.0,True
2020-08,36525.4946475485,25401.1765891599,-11124.318058388599,-30.456310491431594,1.0,True
2020-09,30919.37897605825,25777.040225899796,-5142.338750158455,-16.631442546567033,1.0,True
2020-10,29326.304170576,25593.33902683095,-3732.965143745052,-12.729067808996037,1.0,True
2020-11,20918.76629411825,29313.06009815517,8394.293804036919,40.12805385371675,1.0,True
2020-12,21434.990156238,32964.052116869614,11529.061960631614,53.78617800426856,1.0,True
