day,model,mae_day,mae_persistence,mae_oat_only,mae_1h,rmse_1h,mae_4h,rmse_4h,mae_8h,rmse_8h,mae_24h,rmse_24h
2026-05-02,M1_1R1C_deployable_Q0,0.27270545695949633,0.2732523616734131,18.111451028194516,0.07876539536421845,0.08565571198026836,0.24314575240849923,0.27246620084632756,0.406493794317182,0.4488973764206177,0.27270545695949633,0.32369542195845036
2026-05-03,M1_1R1C_deployable_Q0,0.3467115461880239,0.3466126855600548,8.297105247154745,0.04097630974162314,0.0480191745929537,0.14342153512583344,0.16206094058145545,0.2342985979583112,0.25801427188203774,0.3467115461880239,0.44642606069990637
2026-05-09,M1_1R1C_deployable_Q0,0.31821086869728493,0.3184075573549236,7.0295263876437835,0.08780016077753672,0.09360235390006058,0.247513298787994,0.2737013229933704,0.39836776443431043,0.4368446627057117,0.31821086869728493,0.35643029562017436
2026-05-10,M1_1R1C_deployable_Q0,0.25374215850532755,0.25433198380566974,13.473688913112602,0.07430932544983548,0.08145420619796284,0.25061470770092775,0.28421279728757554,0.4123359673412077,0.45653799319932875,0.25374215850532755,0.3246220397920477
2026-05-16,M1_1R1C_deployable_Q0,0.31873848376261726,0.31886639676113326,6.093205366355863,0.0326880406117489,0.033890694848329926,0.21325801833239666,0.2533835071826564,0.3703224251024926,0.41579213414552524,0.31873848376261726,0.3832509110191736
2026-05-17,M1_1R1C_deployable_Q0,0.47729378427620056,0.4776518218623477,6.06591342072337,0.03332307790595124,0.03925392128730984,0.10621646843513588,0.12222685424606194,0.24782803353974092,0.2965735821541239,0.47729378427620056,0.5235581621599749
2026-05-23,M1_1R1C_deployable_Q0,0.20378823067382168,0.2036977058029687,6.577975157009213,0.05188973756067483,0.05892418713157999,0.14443621759309533,0.16105870026184024,0.2460027953619366,0.27182924438167183,0.20378823067382168,0.23404703911514313
2026-05-24,M1_1R1C_deployable_Q0,0.4613943275910805,0.4613225371120107,5.535619918196696,0.04421255874864727,0.05014419420626266,0.13005284614229407,0.14336505542672168,0.2075264431319077,0.22675482464059332,0.4613943275910805,0.5833913265999878
2026-05-25,M1_1R1C_deployable_Q0,0.35851545199779317,0.35856950067476284,6.644112765178834,0.037794552616901456,0.04220137178208864,0.13436309240815358,0.15117868156644043,0.18339835846530228,0.20353237364702256,0.35851545199779317,0.46696357871590033
2026-05-30,M1_1R1C_deployable_Q0,0.21590897394002911,0.2158974358974355,6.116469506387161,0.06663958835959605,0.07359599573976049,0.1875523914775865,0.2090668443494988,0.26467271554264515,0.2898668335879253,0.21590897394002911,0.25171392315618024
2026-05-31,M1_1R1C_deployable_Q0,0.28321318617707975,0.28304993252361554,7.174199656822379,0.07175797920628568,0.07813324785258711,0.20787682882902114,0.23098863105249465,0.31270288906977584,0.3404907792324625,0.28321318617707975,0.3294897363592481
2026-06-06,M1_1R1C_deployable_Q0,0.525141156872554,0.5251551956815118,4.861439502705755,0.06088331924478041,0.06616874638882851,0.15074813049210167,0.16406816601875923,0.1966048981407269,0.22110151192467312,0.525141156872554,0.6736173194463531
2026-06-07,M1_1R1C_deployable_Q0,0.18517809472200214,0.18523616734142978,4.195244370532677,0.05960265396122466,0.06671437057267941,0.1882491329225271,0.2121592360002098,0.286902899622683,0.31467826416297673,0.18517809472200214,0.2269939069054726
2026-06-13,M1_1R1C_deployable_Q0,0.4149566665252086,0.41503373819163286,5.345470712634554,0.04549651898742013,0.0503750752020929,0.14305021065261325,0.16089393139380376,0.21022555231612472,0.23009601033633298,0.4149566665252086,0.4956334004739428
2026-06-14,M1_1R1C_deployable_Q0,0.23123767796658234,0.2313360323886651,8.182733552642578,0.050628910985864195,0.05523384705164334,0.16260268585562176,0.18611940646960806,0.2673267966714019,0.2977081819061645,0.23123767796658234,0.26555591484130275
2026-06-16,M1_1R1C_deployable_Q0,0.21089632642185122,0.21095816464237502,5.58975803188266,0.06215524664130356,0.06600872254736682,0.15952865344322564,0.17416353109210508,0.28564481289919774,0.3281034533606943,0.21089632642185122,0.2623155929198249
2026-06-17,M1_1R1C_deployable_Q0,0.5587324727891196,0.5594062078272665,10.96193146202843,0.05637397019611612,0.06226844711281067,0.15259370409270012,0.1708460335450009,0.28275759004869006,0.32251386666449844,0.5587324727891196,0.6032351352646566
2026-06-18,M1_1R1C_deployable_Q0,0.4313778478016037,0.4311470985155227,5.625840215944356,0.025623928449501676,0.02836061046609747,0.08230636363499233,0.09229461423442034,0.14568755140169776,0.16368058257303367,0.4313778478016037,0.5178288866119035
2026-06-19,M1_1R1C_deployable_Q0,0.23044151293330337,0.23022941970310334,6.132629247920866,0.062147933252607146,0.0669886190494463,0.1665563724113417,0.18412416098492526,0.22781689409927397,0.25512537020871745,0.23044151293330337,0.2609193124178177
2026-06-20,M1_1R1C_deployable_Q0,0.4485713237272792,0.44839406207827415,5.301509291813104,0.02817970860540342,0.030954331509605134,0.10166932572314558,0.11873834658534722,0.15776378808965985,0.18800425440200846,0.4485713237272792,0.5572166638171248
2026-06-21,M1_1R1C_deployable_Q0,0.19197874398428377,0.19238866396762083,7.574593499765348,0.04868916999642181,0.050993653742979005,0.14668678725771844,0.16478471651848092,0.23823429340054592,0.2617426640592812,0.19197874398428377,0.2389132322278145
2026-06-22,M1_1R1C_deployable_Q0,0.46559243734901207,0.4654520917678827,5.50424571174215,0.028818616748814918,0.03000958669273341,0.09878451159639301,0.11119047703658665,0.18570990262432918,0.2114795584452233,0.46559243734901207,0.5806777967515024
2026-06-23,M1_1R1C_deployable_Q0,0.3473354500671781,0.34739541160593795,6.645305090379369,0.049325208288230726,0.056649405290489355,0.17631887617322928,0.2003846009492576,0.33780760966078427,0.39243450272755365,0.3473354500671781,0.40348856073576694
2026-06-26,M1_1R1C_deployable_Q0,0.2752996208426225,0.27516869095816276,4.982787664219226,0.05959498123965545,0.06633532631778544,0.1686702684840533,0.1881171844177968,0.25639966960146054,0.27925430787411815,0.2752996208426225,0.33218058948990853
2026-06-27,M1_1R1C_deployable_Q0,0.39260034454421233,0.3924696356275297,5.930879433112003,0.08073722928031657,0.08483278716103947,0.19187705166689373,0.2115413059753697,0.2734963336707805,0.30034791194594934,0.39260034454421233,0.4681534121315706
2026-06-28,M1_1R1C_deployable_Q0,0.15950827187864403,0.15948717948717817,4.126496384630929,0.04100578948267852,0.050060788587132636,0.15873656321270868,0.18194666981561286,0.23934512397521823,0.26584661164564377,0.15950827187864403,0.1954526346824739
_MEAN_,M0_persistence,0.33003529533893955,0.33003529533893955,7.003081982258968,,,,,,,,
_MEAN_,M1_1R1C,0.32996424681516195,0.33003529533893955,7.003081982258968,,,,,,,,
