device_instance,device_address,object_type,object_instance,object_name,description,present_value,units,site_id,building_id,system_id,brick_class,brick_tag,enabled,poll_interval_s,point_id,series_id
5007,2000:7@192.168.204.200,analog-input,10014,STAT ZN-T,Zone Temperature,,degrees-fahrenheit,demo,bens-office,bens-test-bench-box,Zone_Air_Temperature_Sensor,STAT-ZN-T,1,60,5007-analog-input-10014,demo#bens-office#bens-test-bench-box#5007-analog-input-10014
5007,2000:7@192.168.204.200,analog-input,1192,DUCT-T,DUCT PROBE SENSOR,,degrees-fahrenheit,demo,bens-office,bens-test-bench-box,Discharge_Air_Temperature_Sensor,DUCT-T,1,60,5007-analog-input-1192,demo#bens-office#bens-test-bench-box#5007-analog-input-1192
5007,2000:7@192.168.204.200,analog-input,1168,OA-H,4-20MA HUMIDITY INPUT,,percent-relative-humidity,demo,bens-office,bens-test-bench-box,Outside_Air_Humidity_Sensor,OA-H,1,60,5007-analog-input-1168,demo#bens-office#bens-test-bench-box#5007-analog-input-1168
5007,2000:7@192.168.204.200,analog-input,1173,OA-T,4-20MA TEMP INPUT,,degrees-fahrenheit,demo,bens-office,bens-test-bench-box,Outside_Air_Temperature_Sensor,OA-T,1,60,5007-analog-input-1173,demo#bens-office#bens-test-bench-box#5007-analog-input-1173
