timestamp,zone,delta_f,zone_temp_f,prior_zone_temp_f,local_step,lookback,facility_kw,oat_c,heating_setpoint_f
2026-01-20T07:00:00,zone_temp_1F_A_f,3.705990424805833,66.5257392862047,62.819748861398864,27,False,192.01309917065115,-21.525,68.0
2026-01-20T17:30:00,zone_temp_1F_A_f,3.714842394896422,68.25270245456099,71.96754484945741,69,False,124.37281328953782,-13.549999999999999,68.0
2026-01-20T07:00:00,zone_temp_1F_B_f,3.7791539740273663,66.47882560793018,62.69967163390281,27,False,192.01309917065115,-21.525,68.0
2026-01-20T17:30:00,zone_temp_1F_B_f,3.740844317565987,68.25917775204282,72.0000220696088,69,False,124.37281328953782,-13.549999999999999,68.0
2026-01-20T07:00:00,zone_temp_1F_C_f,3.6659370027713223,66.53452846693199,62.868591464160666,27,False,192.01309917065115,-21.525,68.0
2026-01-20T17:30:00,zone_temp_1F_C_f,3.7300026923301886,68.25693761953791,71.9869403118681,69,False,124.37281328953782,-13.549999999999999,68.0
2026-01-20T07:00:00,zone_temp_1F_D_f,3.444332082221912,65.72178281869819,62.277450736476275,27,False,192.01309917065115,-21.525,68.0
2026-01-20T17:30:00,zone_temp_1F_D_f,3.7186252518505825,68.28143118730588,72.00005643915647,69,False,124.37281328953782,-13.549999999999999,68.0
2026-01-20T07:00:00,zone_temp_2F_A_f,3.670970495982189,66.5251191153229,62.854148619340705,27,False,192.01309917065115,-21.525,68.0
2026-01-20T17:30:00,zone_temp_2F_A_f,3.5143049557621993,68.22794785526838,71.74225281103058,69,False,124.37281328953782,-13.549999999999999,68.0
2026-01-20T07:00:00,zone_temp_2F_B_f,3.6785100483973423,66.53605187520174,62.85754182680439,27,False,192.01309917065115,-21.525,68.0
2026-01-20T17:30:00,zone_temp_2F_B_f,3.547531211216949,68.23154185104995,71.7790730622669,69,False,124.37281328953782,-13.549999999999999,68.0
