month,bas_integrated_kwh,utility_billed_kwh,delta_kwh,pct_diff
2025-08,32594.499966666666,32789.0,-194.5000333333337,-0.5931868411154159
2025-09,32280.499948333334,31350.0,930.499948333334,2.9681019085592792
2025-10,33530.99997416667,32552.0,978.9999741666688,3.007495619828793
2025-11,43517.999866666665,42097.0,1420.9998666666652,3.375537132495582
2025-12,69566.99982916667,67328.0,2238.9998291666707,3.325510677825972
2026-01,84157.99974833333,81491.0,2666.999748333328,3.272753737631552
2026-02,68149.99978916667,67205.0,944.9997891666717,1.4061450623713587
2026-03,55098.99986416667,51938.0,3160.999864166668,6.086102399335107
2026-04,43770.99992,42296.0,1474.999920000002,3.4873272177038066
2026-05,32348.4999775,31398.0,950.4999774999997,3.027262811325561
