timestamp,measured,simulated
2020-01-01T00:00:00Z,29983.86071470325,36273.48001797907
2020-02-01T00:00:00Z,31304.200529846,31799.820975551833
2020-03-01T00:00:00Z,28715.1939967645,32930.974714195385
2020-04-01T00:00:00Z,26328.64875505275,30843.837766968274
2020-05-01T00:00:00Z,30400.9894439275,28143.974186115454
2020-06-01T00:00:00Z,27765.65509772675,27121.15789989979
2020-07-01T00:00:00Z,29295.87609852225,30273.747745820066
2020-08-01T00:00:00Z,36525.4946475485,25443.137742310882
2020-09-01T00:00:00Z,30919.37897605825,25814.009947380488
2020-10-01T00:00:00Z,29326.304170576,25643.68139278142
2020-11-01T00:00:00Z,20918.76629411825,29328.753076155357
2020-12-01T00:00:00Z,21434.990156238,32967.73500447291
