strategy,public_label,trajectory_hash,ranking_eligible,period,total_kwh,peak_15min_kw,billed_demand_kw,energy_charge_usd,demand_charge_usd,total_usd,tariff_mode
COLD_TRIGGER_10F,COLD_TRIGGER_10F,c1a536c1fc3371552c8e3eff0564f53d5580523de38c25882c5025dc456c8ffe,True,2025-12,99325.1134,214.4171,214.4171,9843.56,2573.0,12416.56,ILLUSTRATIVE_TOU_PLUS_DEMAND
COLD_TRIGGER_10F,COLD_TRIGGER_10F,c1a536c1fc3371552c8e3eff0564f53d5580523de38c25882c5025dc456c8ffe,True,2026-01,106763.0965,248.3742,248.3742,10582.25,2980.49,13562.74,ILLUSTRATIVE_TOU_PLUS_DEMAND
COLD_TRIGGER_10F,COLD_TRIGGER_10F,c1a536c1fc3371552c8e3eff0564f53d5580523de38c25882c5025dc456c8ffe,True,two_month,206088.2099,248.3742,462.7913,20425.81,5553.5,25979.3,ILLUSTRATIVE_TOU_PLUS_DEMAND
COLD_TRIGGER_20F,COLD_TRIGGER_20F,c794f5be1386414412819aeccbcf80653c9ccfa5e8abf7b268eaeedc129549bb,True,2025-12,100126.4462,213.925,213.925,9938.0,2567.1,12505.1,ILLUSTRATIVE_TOU_PLUS_DEMAND
COLD_TRIGGER_20F,COLD_TRIGGER_20F,c794f5be1386414412819aeccbcf80653c9ccfa5e8abf7b268eaeedc129549bb,True,2026-01,107477.302,248.1617,248.1617,10665.79,2977.94,13643.73,ILLUSTRATIVE_TOU_PLUS_DEMAND
COLD_TRIGGER_20F,COLD_TRIGGER_20F,c794f5be1386414412819aeccbcf80653c9ccfa5e8abf7b268eaeedc129549bb,True,two_month,207603.7482,248.1617,462.0867,20603.79,5545.04,26148.83,ILLUSTRATIVE_TOU_PLUS_DEMAND
COLD_TRIGGER_30F,COLD_TRIGGER_30F,11c87d5afb06693c3398c53c3151bcbfdc31ef49ed15ff9afcf7693f6cd521cc,True,2025-12,100633.878,213.925,213.925,9996.34,2567.1,12563.44,ILLUSTRATIVE_TOU_PLUS_DEMAND
COLD_TRIGGER_30F,COLD_TRIGGER_30F,11c87d5afb06693c3398c53c3151bcbfdc31ef49ed15ff9afcf7693f6cd521cc,True,2026-01,107658.2134,248.1617,248.1617,10694.14,2977.94,13672.08,ILLUSTRATIVE_TOU_PLUS_DEMAND
COLD_TRIGGER_30F,COLD_TRIGGER_30F,11c87d5afb06693c3398c53c3151bcbfdc31ef49ed15ff9afcf7693f6cd521cc,True,two_month,208292.0915,248.1617,462.0867,20690.48,5545.04,26235.52,ILLUSTRATIVE_TOU_PLUS_DEMAND
COLD_TRIGGER_20F_4H,COLD_TRIGGER_20F_4H,1635c139ad146718ea6bb1e1de1426fdfd14f970ffc3f19913395bdbf2bd9a15,True,2025-12,99803.2427,213.925,213.925,9901.56,2567.1,12468.66,ILLUSTRATIVE_TOU_PLUS_DEMAND
COLD_TRIGGER_20F_4H,COLD_TRIGGER_20F_4H,1635c139ad146718ea6bb1e1de1426fdfd14f970ffc3f19913395bdbf2bd9a15,True,2026-01,107157.0169,248.1617,248.1617,10629.54,2977.94,13607.48,ILLUSTRATIVE_TOU_PLUS_DEMAND
