strategy,public_label,period,total_kwh,peak_15min_kw,energy_charge_usd,demand_charge_usd,total_usd,tariff_mode,ranking_eligible,trajectory_hash,billed_demand_kw
continuous_68_heat_sensitivity,CONTINUOUS_DUALSP_68_74_SENSITIVITY_UNVERIFIED,two_month,208933.5377,248.1617,20768.18,2977.94,23746.12,ILLUSTRATIVE_TOU_PLUS_DEMAND,True,c9f71bc7337a7e0da7605ff9ccf039af6c1a699da76a4777f9c39bff3ae53db9,248.1617
frozen_ppo_flat_seed0,POLICY_CANDIDATE_FROZEN_PPO_FLAT,2025-12,88522.3476,253.2298,8605.86,3038.76,11644.62,ILLUSTRATIVE_TOU_PLUS_DEMAND,True,57e90464ebd45c400de292aa167945777dffce86360595a7a889a411b3671fde,253.2298
frozen_ppo_flat_seed0,POLICY_CANDIDATE_FROZEN_PPO_FLAT,2026-01,96352.9019,272.9578,9361.41,3275.49,12636.91,ILLUSTRATIVE_TOU_PLUS_DEMAND,True,57e90464ebd45c400de292aa167945777dffce86360595a7a889a411b3671fde,272.9578
frozen_ppo_flat_seed0,POLICY_CANDIDATE_FROZEN_PPO_FLAT,two_month,184875.2496,272.9578,17967.28,3275.49,21242.77,ILLUSTRATIVE_TOU_PLUS_DEMAND,True,57e90464ebd45c400de292aa167945777dffce86360595a7a889a411b3671fde,272.9578
frozen_dqn_tou_seed1,POLICY_CANDIDATE_FROZEN_DQN_TOU,2025-12,92165.9199,230.7848,9034.12,2769.42,11803.54,ILLUSTRATIVE_TOU_PLUS_DEMAND,True,8e0fd4b6b0d2c82439b70f81bdeeee4f4afa4e73b05fa25f73970ff156a350b5,230.7848
frozen_dqn_tou_seed1,POLICY_CANDIDATE_FROZEN_DQN_TOU,2026-01,99415.857,261.1953,9702.77,3134.34,12837.12,ILLUSTRATIVE_TOU_PLUS_DEMAND,True,8e0fd4b6b0d2c82439b70f81bdeeee4f4afa4e73b05fa25f73970ff156a350b5,261.1953
frozen_dqn_tou_seed1,POLICY_CANDIDATE_FROZEN_DQN_TOU,two_month,191581.7769,261.1953,18736.89,3134.34,21871.24,ILLUSTRATIVE_TOU_PLUS_DEMAND,True,8e0fd4b6b0d2c82439b70f81bdeeee4f4afa4e73b05fa25f73970ff156a350b5,261.1953
grid_flat_discrete_42,POLICY_CANDIDATE_GRID_FLAT_DISCRETE_42,2025-12,87597.4797,242.7361,8536.89,2912.83,11449.73,ILLUSTRATIVE_TOU_PLUS_DEMAND,True,10626863fdd676dd76a2d6ffe088d6c7608eec1527cf6e0b8363de993ee283ba,242.7361
grid_flat_discrete_42,POLICY_CANDIDATE_GRID_FLAT_DISCRETE_42,2026-01,95404.8539,265.9219,9288.81,3191.06,12479.87,ILLUSTRATIVE_TOU_PLUS_DEMAND,True,10626863fdd676dd76a2d6ffe088d6c7608eec1527cf6e0b8363de993ee283ba,265.9219
grid_flat_discrete_42,POLICY_CANDIDATE_GRID_FLAT_DISCRETE_42,two_month,183002.3336,265.9219,17825.7,3191.06,21016.76,ILLUSTRATIVE_TOU_PLUS_DEMAND,True,10626863fdd676dd76a2d6ffe088d6c7608eec1527cf6e0b8363de993ee283ba,265.9219
grid_tou_discrete_43,POLICY_CANDIDATE_GRID_TOU_DISCRETE_43,2025-12,87988.5579,242.7046,8539.15,2912.46,11451.6,ILLUSTRATIVE_TOU_PLUS_DEMAND,True,8b49926ad2106845612bdcfd9be2f58ec33234fe364e3d97850cd19039452ab9,242.7046
grid_tou_discrete_43,POLICY_CANDIDATE_GRID_TOU_DISCRETE_43,2026-01,95895.7727,265.4566,9293.56,3185.48,12479.04,ILLUSTRATIVE_TOU_PLUS_DEMAND,True,8b49926ad2106845612bdcfd9be2f58ec33234fe364e3d97850cd19039452ab9,265.4566
grid_tou_discrete_43,POLICY_CANDIDATE_GRID_TOU_DISCRETE_43,two_month,183884.3305,265.4566,17832.71,3185.48,21018.19,ILLUSTRATIVE_TOU_PLUS_DEMAND,True,8b49926ad2106845612bdcfd9be2f58ec33234fe364e3d97850cd19039452ab9,265.4566
