tariff_mode,candidate_id,action_index,total_cost,energy_cost,incremental_demand_cost,peak_kw_max,daily_kwh_sum,eligible,ready_checked_school_days,checked_school_days,unoccupied_heating_f,recovery_lead_minutes,post_occupancy_extension_minutes,setback_offset_f,continuous_conditioning
FLAT_PLUS_DEMAND,discrete_41,41,7467.634512,4815.275866,2652.358646,221.029887,43775.235147,True,5,5,60.0,180,180,-1.0,False
FLAT_PLUS_DEMAND,discrete_42,42,7436.732132,4787.14095,2649.591182,220.799265,43519.463183,True,5,5,60.0,180,0,0.0,False
FLAT_PLUS_DEMAND,discrete_43,43,7440.421598,4801.840113,2638.581485,219.88179,43653.091937,True,5,5,60.0,180,60,0.0,False
FLAT_PLUS_DEMAND,discrete_44,44,7444.386247,4816.868182,2627.518065,218.959839,43789.71075,True,5,5,60.0,180,120,0.0,False
FLAT_PLUS_DEMAND,discrete_45,45,7448.41748,4833.247086,2615.170394,217.930866,43938.609872,True,5,5,60.0,180,180,0.0,False
FLAT_PLUS_DEMAND,discrete_46,46,7505.276507,4896.047738,2609.228769,217.435731,44509.524888,True,5,5,60.0,180,0,1.0,False
FLAT_PLUS_DEMAND,discrete_47,47,7508.203068,4908.874718,2599.32835,216.610696,44626.1338,True,5,5,60.0,180,60,1.0,False
FLAT_PLUS_DEMAND,discrete_48,48,7512.543367,4923.326566,2589.216801,215.768067,44757.514235,True,5,5,60.0,180,120,1.0,False
FLAT_PLUS_DEMAND,discrete_49,49,7516.264066,4938.232681,2578.031385,214.835949,44893.024374,True,5,5,60.0,180,180,1.0,False
FLAT_PLUS_DEMAND,discrete_50,50,7938.375562,5101.507937,2836.867625,236.405635,46377.344882,False,0,5,64.0,0,0,-1.0,False
FLAT_PLUS_DEMAND,discrete_51,51,7940.298191,5111.175799,2829.122392,235.760199,46465.234537,False,0,5,64.0,0,60,-1.0,False
FLAT_PLUS_DEMAND,discrete_52,52,7943.114636,5122.386401,2820.728235,235.060686,46567.1491,False,0,5,64.0,0,120,-1.0,False
FLAT_PLUS_DEMAND,discrete_53,53,7945.986608,5134.196368,2811.79024,234.315853,46674.512439,False,0,5,64.0,0,180,-1.0,False
FLAT_PLUS_DEMAND,discrete_54,54,7977.659323,5216.471446,2761.187877,230.09899,47422.467693,False,0,5,64.0,0,0,0.0,False
FLAT_PLUS_DEMAND,discrete_55,55,7980.392634,5225.698913,2754.693721,229.55781,47506.353756,False,0,5,64.0,0,60,0.0,False
FLAT_PLUS_DEMAND,discrete_56,56,7982.984726,5235.362742,2747.621984,228.968499,47594.206744,False,0,5,64.0,0,120,0.0,False
FLAT_PLUS_DEMAND,discrete_57,57,7985.397326,5245.292233,2740.105093,228.342091,47684.474847,False,0,5,64.0,0,180,0.0,False
FLAT_PLUS_DEMAND,discrete_58,58,8012.627939,5330.933766,2681.694173,223.474514,48463.034236,False,0,5,64.0,0,0,1.0,False
FLAT_PLUS_DEMAND,discrete_59,59,8014.661864,5338.261155,2676.400709,223.033392,48529.646862,False,0,5,64.0,0,60,1.0,False
FLAT_PLUS_DEMAND,discrete_60,60,8017.07166,5346.423351,2670.648309,222.554026,48603.848641,False,0,5,64.0,0,120,1.0,False
FLAT_PLUS_DEMAND,discrete_61,61,8019.226233,5354.732586,2664.493647,222.041137,48679.387145,False,0,5,64.0,0,180,1.0,False
FLAT_PLUS_DEMAND,discrete_62,62,7779.605942,5106.678368,2672.927574,222.743965,46424.348801,True,5,5,64.0,60,0,-1.0,False
FLAT_PLUS_DEMAND,discrete_63,63,7782.427082,5117.24009,2665.186993,222.098916,46520.364454,True,5,5,64.0,60,60,-1.0,False
FLAT_PLUS_DEMAND,discrete_64,64,7785.29732,5128.451973,2656.845347,221.403779,46622.290662,True,5,5,64.0,60,120,-1.0,False
FLAT_PLUS_DEMAND,discrete_65,65,7788.213309,5140.240596,2647.972713,220.664393,46729.459962,True,5,5,64.0,60,180,-1.0,False
FLAT_PLUS_DEMAND,discrete_66,66,7834.455978,5221.733981,2612.721997,217.726833,47470.308917,True,5,5,64.0,60,0,0.0,False
FLAT_PLUS_DEMAND,discrete_67,67,7837.167066,5230.908808,2606.258258,217.188188,47553.716438,True,5,5,64.0,60,60,0.0,False
FLAT_PLUS_DEMAND,discrete_68,68,7839.774205,5240.529389,2599.244816,216.603735,47641.176265,True,5,5,64.0,60,120,0.0,False
FLAT_PLUS_DEMAND,discrete_69,69,7842.268353,5250.465028,2591.803325,215.98361,47731.500258,True,5,5,64.0,60,180,0.0,False
