timestamp,zone,delta_f,zone_temp_f,prior_zone_temp_f,local_step,lookback,facility_kw,oat_c,heating_setpoint_f
2026-01-12T07:30:00,zone_temp_1F_A_f,3.4476972686809404,71.44833572210607,68.00063845342513,29,False,183.69148313160255,-2.7749999999999995,71.9999984741211
2026-01-12T17:30:00,zone_temp_1F_A_f,3.4512537382555593,68.55011314874125,72.0013668869968,69,False,64.89142197046455,2.25,68.0
2026-01-12T00:30:00,zone_temp_1F_B_f,2.746024845481216,67.74746417575693,65.00143933027572,1,False,119.73550754600929,-3.7500000000000004,68.0
2026-01-12T07:30:00,zone_temp_1F_B_f,3.6703039115239733,71.6711877681162,68.00088385659222,29,False,183.69148313160255,-2.7749999999999995,71.9999984741211
2026-01-12T17:30:00,zone_temp_1F_B_f,3.471244633285579,68.53019245378223,72.00143708706781,69,False,64.89142197046455,2.25,68.0
2026-01-12T07:30:00,zone_temp_1F_C_f,3.265111452272066,71.2659715066916,68.00086005441953,29,False,183.69148313160255,-2.7749999999999995,71.9999984741211
2026-01-12T17:30:00,zone_temp_1F_C_f,3.4395027846029222,68.56180098512904,72.00130376973196,69,False,64.89142197046455,2.25,68.0
2026-01-12T07:30:00,zone_temp_1F_D_f,2.6922221178416663,70.66548859312446,67.9732664752828,29,False,183.69148313160255,-2.7749999999999995,71.9999984741211
2026-01-12T17:30:00,zone_temp_1F_D_f,3.378574803928558,68.62259786993975,72.00117267386831,69,False,64.89142197046455,2.25,68.0
2026-01-12T07:30:00,zone_temp_2F_A_f,3.2743605879697526,71.27523272422921,68.00087213625946,29,False,183.69148313160255,-2.7749999999999995,71.9999984741211
2026-01-12T17:30:00,zone_temp_2F_A_f,3.43115725928962,68.56999362369376,72.00115088298338,69,False,64.89142197046455,2.25,68.0
2026-01-12T07:30:00,zone_temp_2F_B_f,3.278491587518232,71.2793705603722,68.00087897285397,29,False,183.69148313160255,-2.7749999999999995,71.9999984741211
2026-01-12T17:30:00,zone_temp_2F_B_f,3.4376527490421864,68.5635028328039,72.00115558184609,69,False,64.89142197046455,2.25,68.0
