timestamp,zone,delta_f,zone_temp_f,prior_zone_temp_f,local_step,lookback,facility_kw,oat_c,heating_setpoint_f
2026-01-12T00:30:00,zone_temp_1F_A_f,5.1901397637152655,59.81116947982332,65.00130924353859,1,False,24.101647599328665,-3.7500000000000004,58.000000381469725
2026-01-12T17:30:00,zone_temp_1F_A_f,4.524127172707821,63.47726587516108,68.0013930478689,69,False,25.351626661202484,2.25,58.000000381469725
2026-01-12T17:45:00,zone_temp_1F_A_f,2.8312970245337965,60.645968850627284,63.47726587516108,70,False,25.351626661202484,1.9,58.000000381469725
2026-01-12T00:30:00,zone_temp_1F_B_f,5.28024432096025,59.72119433776437,65.00143865872462,1,False,24.101647599328665,-3.7500000000000004,58.000000381469725
2026-01-12T17:30:00,zone_temp_1F_B_f,4.637242797308502,63.364160080716076,68.00140287802458,69,False,25.351626661202484,2.25,58.000000381469725
2026-01-12T17:45:00,zone_temp_1F_B_f,2.7591584814363372,60.60500159927974,63.364160080716076,70,False,25.351626661202484,1.9,58.000000381469725
2026-01-12T00:30:00,zone_temp_1F_C_f,5.196623783479602,59.80456402849682,65.00118781197642,1,False,24.101647599328665,-3.7500000000000004,58.000000381469725
2026-01-12T17:30:00,zone_temp_1F_C_f,4.510426323596647,63.490988587258016,68.00141491085466,69,False,25.351626661202484,2.25,58.000000381469725
2026-01-12T17:45:00,zone_temp_1F_C_f,2.7775340806712308,60.713454506586785,63.490988587258016,70,False,25.351626661202484,1.9,58.000000381469725
2026-01-12T00:30:00,zone_temp_1F_D_f,5.0597169908446205,59.94124232747508,65.0009593183197,1,False,24.101647599328665,-3.7500000000000004,58.000000381469725
2026-01-12T17:30:00,zone_temp_1F_D_f,4.294230159762279,63.707118474531086,68.00134863429336,69,False,25.351626661202484,2.25,58.000000381469725
2026-01-12T17:45:00,zone_temp_1F_D_f,2.7393094746286337,60.96780899990245,63.707118474531086,70,False,25.351626661202484,1.9,58.000000381469725
2026-01-12T00:30:00,zone_temp_2F_A_f,5.0670686717083555,59.93406367620638,65.00113234791473,1,False,24.101647599328665,-3.7500000000000004,58.000000381469725
2026-01-12T17:30:00,zone_temp_2F_A_f,4.504423816042475,63.49691448220695,68.00133829824942,69,False,25.351626661202484,2.25,58.000000381469725
2026-01-12T17:45:00,zone_temp_2F_A_f,3.005848749127516,60.49106573307943,63.49691448220695,70,False,25.351626661202484,1.9,58.000000381469725
2026-01-12T00:30:00,zone_temp_2F_B_f,5.089615972323855,59.911510164738615,65.00112613706247,1,False,24.101647599328665,-3.7500000000000004,58.000000381469725
2026-01-12T17:30:00,zone_temp_2F_B_f,4.520141674612795,63.48120449990011,68.0013461745129,69,False,25.351626661202484,2.25,58.000000381469725
2026-01-12T17:45:00,zone_temp_2F_B_f,2.9928131586964355,60.48839134120367,63.48120449990011,70,False,25.351626661202484,1.9,58.000000381469725
