timestamp,measured,simulated
2020-01-01T00:00:00Z,29983.86071470325,36105.64916084951
2020-02-01T00:00:00Z,31304.200529846,31735.54869812777
2020-03-01T00:00:00Z,28715.1939967645,32865.92184621954
2020-04-01T00:00:00Z,26328.64875505275,30779.5526865472
2020-05-01T00:00:00Z,30400.9894439275,28111.42766057835
2020-06-01T00:00:00Z,27765.65509772675,26983.670326262436
2020-07-01T00:00:00Z,29295.87609852225,30264.2301200652
2020-08-01T00:00:00Z,36525.4946475485,25401.1765891599
2020-09-01T00:00:00Z,30919.37897605825,25777.040225899793
2020-10-01T00:00:00Z,29326.304170576,25593.33902683095
2020-11-01T00:00:00Z,20918.76629411825,29313.060098155172
2020-12-01T00:00:00Z,21434.990156238,32964.052116869614
