day,panel,arm,step,mean_heating_f,zone_spread_f,school_start,school_end,recovery_begin_step,post_occupancy_extension_minutes
2025-12-15,incumbent (PRIMARY eval),incumbent,62,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,63,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,64,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,65,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,66,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,67,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,68,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,69,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,70,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,71,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,72,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,73,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,74,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,75,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,76,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,77,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,78,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,79,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,80,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,81,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,82,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,83,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,84,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,85,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,86,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,87,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,88,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,89,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,90,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,91,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,92,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,93,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,94,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,95,64.0,4.0,30,59,26,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,0,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,1,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,2,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,3,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,4,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,5,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,6,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,7,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,8,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,9,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,10,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,11,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,12,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,13,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,14,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,15,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,16,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,17,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,18,61.25058333333333,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,19,62.2278,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,20,63.205016666666666,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,21,64.18225,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,22,65.15945,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,23,66.13668333333334,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,24,67.1139,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,25,68.09111666666666,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,26,69.06833333333333,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,27,70.04556666666666,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,28,71.02276666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,29,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,30,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,31,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,32,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,33,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,34,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,35,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,36,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,37,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,38,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,39,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,40,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,41,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,42,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,43,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,44,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,45,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,46,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,47,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,48,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,49,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,50,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,51,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,52,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,53,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,54,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,55,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,56,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,57,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,58,72.0,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,59,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,60,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,61,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,62,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,63,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,64,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,65,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,66,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,67,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,68,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,69,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,70,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,71,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,72,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,73,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,74,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,75,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,76,60.27336666666667,12.0,30,59,18,0
