day,experiment_id,arm,peak_kw,daily_kwh,energy_cost,incremental_demand_cost,readiness_ok,opening_mtd_kw,mean_htg_sp_f_at_step30,mean_htg_sp_f_at_step31,series_kind
2025-12-15,FLAT_PLUS_DEMAND,incumbent,193.00972417477698,3515.181358099548,386.66994939095025,2316.116690097324,False,0.0,68.0,68.0,AGGREGATE_FROM_EVAL_JSON_NOT_TIMESTEP_REPLAY
2025-12-15,FLAT_PLUS_DEMAND,trained_ppo_seed0,220.878632832408,3421.2043830737666,376.33248213811424,2650.5435939888957,True,0.0,72.0,72.0,AGGREGATE_FROM_EVAL_JSON_NOT_TIMESTEP_REPLAY
2025-12-15,ILLUSTRATIVE_TOU_PLUS_DEMAND,trained_dqn_seed1,201.77784716443324,3705.0959685573603,360.14147587698477,2421.3341659731987,True,0.0,70.0,70.0,AGGREGATE_FROM_EVAL_JSON_NOT_TIMESTEP_REPLAY
