date,n_intervals,oat_min_f,oat_max_f,facility_peak_kw,max_abs_dT_f,p99_9_abs_dT_f,n_morning_recovery,n_evening_setback,mean_zone_cross_std_f,gate_or_smoke_date,weekend,fold
2025-08-02,95,50.53333333333333,76.34166666666667,36.0,0.44444444444442865,0.3607763888888843,0,0,2.195273268616401,False,True,train_dev
2025-08-03,96,52.79999999999999,77.325,30.0,0.23000000000000398,0.22860606060606575,0,0,2.3147262445979155,False,True,train_dev
2025-08-04,96,55.708333333333336,79.00833333333333,98.0,0.5933333333333195,0.5281666666666498,1,1,2.0778742069593683,False,False,train_dev
2025-08-05,96,57.25,81.19166666666666,64.0,1.8933333333333309,1.4145151515151055,1,1,1.5676912798321343,False,False,train_dev
2025-08-06,96,57.60833333333333,81.89166666666667,139.99999666666668,1.2666666666666657,1.2609166666666622,1,1,1.3042504534576345,False,False,train_dev
2025-08-07,96,65.23333333333333,86.75833333333333,112.0,1.7466666666666555,1.5549999999999846,1,1,1.3797608382148274,False,False,train_dev
2025-08-08,96,71.4,87.63333333333333,120.0,2.2266666666666453,1.5749999999999478,1,1,1.4611045586333595,False,False,train_dev
2025-08-09,96,71.66666666666666,87.10000000000001,28.0,0.19999999999998863,0.18849999999999,0,0,1.5871141715817003,False,True,train_dev
2025-08-10,96,67.53333333333333,77.14999999999999,32.0,0.38333333333333997,0.33349999999999896,0,0,1.6514342628609615,False,True,train_dev
2025-08-11,96,69.48333333333333,81.24166666666666,134.0,1.460000000000008,1.4427499999999978,1,1,1.2278602831445786,False,False,train_dev
2025-08-12,96,68.78333333333335,80.47500000000001,106.0,0.8799999999999955,0.6768333333333095,1,1,1.0481447708461078,False,False,train_dev
2025-08-13,96,63.708333333333336,79.40833333333333,120.0,1.0900000000000034,0.9389318181818082,1,1,1.1334114346889692,False,False,train_dev
2025-08-14,96,59.26666666666666,79.68333333333334,118.0,0.9666666666666686,0.9609166666666733,1,1,1.3968021295738051,False,False,train_dev
2025-08-15,96,64.75,84.77499999999999,130.0,1.4366666666666674,1.4190681818181727,1,1,1.2767111759037724,False,False,train_dev
2025-08-16,96,69.05,82.63333333333334,36.0,0.16363636363635692,0.16154545454545774,0,0,1.1231726862061682,False,True,train_dev
2025-08-17,96,67.2,77.3,34.0,0.18974358974358552,0.16910256410255628,0,0,1.2766008084304692,False,True,train_dev
